taskname,prompt_program
StaplerDelivery_0,"Check every printer room for a stapler, and deliver a stapler from the supply room to every printer room without a stapler.
def task_program():
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""printer room"" not in room:
            continue
        go_to(room)
        if not is_in_room(""stapler""):
            go_to(""supply room"")
            pick(""stapler"")
            go_to(room)
            place(""stapler"")
"
StaplerDelivery_1,"Go to every printer room and check if there is a stapler. For each visited room that does not have a stapler, deliver a stapler from the supply room to that room.
def task_program():
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""printer room"" not in room:
            continue
        go_to(room)
        if not is_in_room(""stapler""):
            go_to(""supply room"")
            pick(""stapler"")
            go_to(room)
            place(""stapler"")
"
StaplerDelivery_2,"Check if there is a stapler in every printer room. For each visited room without a stapler, deliver a stapler from the supply room to that room.
def task_program():
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""printer room"" not in room:
            continue
        go_to(room)
        if not is_in_room(""stapler""):
            go_to(""supply room"")
            pick(""stapler"")
            go_to(room)
            place(""stapler"")
"
StaplerDelivery_3,"Make sure there is a stapler in each printer room. Otherwise, bring a stapler from the supply room to each printer room that currently lacks one.
def task_program():
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""printer room"" not in room:
            continue
        go_to(room)
        if not is_in_room(""stapler""):
            go_to(""supply room"")
            pick(""stapler"")
            go_to(room)
            place(""stapler"")
"
StaplerDelivery_4,"Check if every printer room has a stapler. If not, put a stapler from the supply room to every printer room without a stapler.
def task_program():
    list_of_rooms = get_all_rooms()
    for room in list_of_rooms:
        if ""printer room"" not in room:
            continue
        go_to(room)
        if not is_in_room(""stapler""):
            go_to(""supply room"")
            pick(""stapler"")
            go_to(room)
            place(""stapler"")
"
GrilledCheese_0,"Compile a list of ingredients for grilled cheese. Go to Zarko's office, and ask him which of them he has. Come back and tell me what he does not have.
def task_program():
    start_loc = get_current_location()
    ingredients = [""bread"", ""cheese"", ""butter""]
    missing_ingredients = []
    go_to(""Zarko's office"")
    for ingredient in ingredients:
        response = ask(""Zarko"", ""Do you have "" + ingredient + ""?"", [""Yes"", ""No""])
        if response == ""No"":
            missing_ingredients.append(ingredient)
    go_to(start_loc)
    if len(missing_ingredients) > 0:
        message = ""Zarko does not have: ""
        for ingredient in missing_ingredients:
            message += ingredient + "", ""
        message = message[:-2]
    else:
        message = ""Zarko has all the ingredients for grilled cheese""
    say(message)
"
GrilledCheese_2,"Put together a compilation of grilled cheese ingredients. Head to Zarko's office, inquire about his available ingredients, and then update me on what he does not have.
def task_program():
    start_loc = get_current_location()
    ingredients = [""bread"", ""cheese"", ""butter""]
    missing_ingredients = []
    go_to(""Zarko's office"")
    for ingredient in ingredients:
        response = ask(""Zarko"", ""Do you have "" + ingredient + ""?"", [""Yes"", ""No""])
        if response == ""No"":
            missing_ingredients.append(ingredient)
    go_to(start_loc)
    if len(missing_ingredients) > 0:
        message = ""Zarko is missing: ""
        for ingredient in missing_ingredients:
            message += ingredient + "", ""
        message = message[:-2]
    else:
        message = ""Zarko has all the ingredients for grilled cheese""
    say(message)
"
GrilledCheese_3,"Compile the necessary ingredients for grilled cheese. Go to Zarko's office, ask him about his available items, and then report back to me which items he does not have.
def task_program():
    start_loc = get_current_location()
    ingredients = [""bread"", ""cheese"", ""butter""]
    missing_ingredients = []
    go_to(""Zarko's office"")
    for ingredient in ingredients:
        response = ask(""Zarko"", ""Do you have "" + ingredient + ""?"", [""Yes"", ""No""])
        if response == ""No"":
            missing_ingredients.append(ingredient)
    go_to(start_loc)
    if len(missing_ingredients) > 0:
        message = ""Zarko is missing: ""
        for ingredient in missing_ingredients:
            message += ingredient + "", ""
        message = message[:-2]
    else:
        message = ""Zarko has all the ingredients for grilled cheese""
    say(message)
"
GrilledCheese_4,"Put together a list of grilled cheese ingredients. Head to Zarko's office and inquire about his available ingredients. Return and inform me of what he is missing.
def task_program():
    start_loc = get_current_location()
    ingredients = [""bread"", ""cheese"", ""butter""]
    missing_ingredients = []
    go_to(""Zarko's office"")
    for ingredient in ingredients:
        response = ask(""Zarko"", ""Do you have "" + ingredient + ""?"", [""Yes"", ""No""])
        if response == ""No"":
            missing_ingredients.append(ingredient)
    go_to(start_loc)
    if len(missing_ingredients) > 0:
        message = ""Zarko is missing: ""
        for ingredient in missing_ingredients:
            message += ingredient + "", ""
        message = message[:-2]
    else:
        message = ""Zarko has all the ingredients for a grilled cheese""
    say(message)
"
HalloweenList_0,"Go to every office, and if there is anyone there, ask if they'd like a chocolate, caramel, or gummy. Come back and tell me how many of each we need to buy.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    chocolate_count = 0
    caramel_count = 0
    gummy_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            response = ask("""", ""Would you like a chocolate, caramel, or gummy?"", [""chocolate"", ""caramel"", ""gummy""])
            if response == ""chocolate"":
                chocolate_count += 1
            elif response == ""caramel"":
                caramel_count += 1
            elif response == ""gummy"":
                gummy_count += 1
    go_to(start_loc)
    say(""We need to buy "" + str(chocolate_count) + "" chocolates, "" + str(caramel_count) + "" caramels, and "" + str(gummy_count) + "" gummies."")
"
